risk_id,risk_domain,risk_statement,control_id,control_name,control_description,test_id,test_name,frequency,control_owner,framework_mapping
R001,IAM,Privileged access is not appropriately restricted or monitored,C001,Privileged Access Governance,Privileged accounts must be assigned only to approved users with documented ownership and periodic review,T001,Dormant Privileged Accounts,Monthly,Identity and Access Management,NIST PR.AA; CIS 6; OSFI B-13
R002,IAM,Users may access corporate systems without strong authentication,C002,MFA Enforcement,All active workforce and contractor accounts must have MFA enabled unless a documented exception exists,T002,Users Without MFA,Weekly,Identity and Access Management,NIST PR.AA; CIS 5; OSFI B-13
R003,IAM,Service accounts may exist without accountable ownership,C003,Service Account Ownership,All privileged service accounts must have a named technical and business owner,T003,Service Accounts Without Owner,Monthly,Infrastructure Security,NIST GV; CIS 5; OSFI B-13
R004,Vulnerability Management,Critical and high-risk vulnerabilities may remain open past remediation timelines,C004,Vulnerability Remediation SLA,Critical and high findings must be remediated within defined SLA thresholds,T004,High-Risk Vulnerabilities Past SLA,Weekly,Vulnerability Management,NIST ID.RA; CIS 7; OSFI B-13
R005,IAM,User access may remain active after workforce termination,C005,Termination Access Removal,Terminated users must have logical access removed promptly and no post-termination activity should occur,T005,Stale Access After Termination,Daily,Identity and Access Management,NIST PR.AA; CIS 5; OSFI B-13
R006,Infrastructure Security,Production systems may operate on unsupported or legacy operating systems,C006,Supported OS Baseline,Production assets must remain on supported operating systems with approved exception handling,T006,Unsupported OS in Production,Monthly,Infrastructure Operations,NIST PR.PS; CIS 4; OSFI B-13
R007,Resilience,Critical services may not be recoverable if backup controls fail,C007,Critical Backup Monitoring,Critical systems must have successful backup status and timely follow-up on failures,T007,Backup Failures on Critical Assets,Daily,Infrastructure Operations,NIST RC.RP; CIS 11; OSFI B-13
R008,Resilience,Disaster recovery weaknesses may persist without retest validation,C008,DR Retest Validation,Failed backup restore and DR tests must be retested and evidentially closed,T008,Failed DR Tests Without Retest,Quarterly,Infrastructure Operations,NIST RC.IM; CIS 11; OSFI B-13
R009,Cloud Security,Public cloud resources may expose sensitive services or data,C009,Cloud Exposure Control,Public exposure of storage and compute resources must be restricted and monitored,T009,Public or Overly Broad Storage Policies,Weekly,Cloud Security,NIST PR.DS; CIS 3; OSFI B-13
R010,Network Security,Production firewall rules may be overly permissive or insufficiently reviewed,C010,Firewall Rule Governance,Broad or any-any rules must be justified approved and periodically reviewed,T010,Overly Permissive Firewall Rules,Monthly,Network Security,NIST PR.PT; CIS 12; OSFI B-13

R011,IAM,Administrative rights may be assigned outside approved group-based governance,C011,Approved Admin Group Governance,Administrative rights must be assigned through approved role groups with documented ownership and review,T011,Admin Rights Assigned Outside Approved Groups,Monthly,Identity and Access Management,NIST PR.AA; CIS 6; OSFI B-13
R012,Infrastructure Security,Critical internet-facing assets may remain exposed while high-risk findings are still open,C012,Critical Internet-Facing Asset Remediation,Critical internet-facing assets must be prioritized for remediation and monitored until high-risk findings are closed,T012,Critical Internet-Facing Assets with Open Findings,Weekly,Infrastructure Security,NIST PR.PT; CIS 12; OSFI B-13
